Name,Summary,Average Runtime,End Date,Premiere Date,Genres,Type,Language,Network,Rating
Studio 60 on the Sunset Strip,The executive producer of a late night sketch comedy show sparks a media frenzy when he has an on-air meltdown during a live broadcast. The newly minted network president has to scramble to make things right by hiring back two former prized employees to become the new executive producers of her network's flagship program.,60,18-09-2006,28-06-2007,"['Drama', 'Comedy']",Scripted,English,NBC,8
Gomorra,"Based on Robert Saviano's bestselling book, this gritty Italian crime drama paints a portrait of the brutal Neapolitan crime organisation the Camorra.",58,2014-06-05 00:00:00,17-12-2021,"['Drama', 'Action', 'Crime']",Scripted,Italian,Sky Atlantic,8
Star Trek Continues,"Star Trek Continues is a fan-created science fiction series set in the <i>Star Trek </i>universe produced by Trek Continues Inc., Far From Home, and Dracogen. The series is an unofficial direct continuation of the third and last season of <i>Star Trek: The Original Series</i>, whose visual and storytelling features have been reproduced to recreate the same look-and-feel.As with all such <i>Star Trek</i> fan productions, use of copyrighted and trademarked properties from the original series was allowed so long as the production is not-for-profit. Part of the funds necessary to produce the episodes were raised through a successful Kickstarter campaign, to which almost three thousand backers contributed.<i>Star Trek Continues</i> won a <i>Geekie Award</i> for ""Best Web Series"" in 2014 and has been very positively received by the critics, who praised the quality of the production, stating that the series has set a new standard for <i>Star Trek</i> fan productions.",45,24-05-2013,13-11-2017,"['Adventure', 'Science-Fiction']",Scripted,English,,8
Steins;Gate,"The microwave is a time machine. Okarin proved it. The self-anointed mad scientist nuked bananas into some gelatinous version of the future. Or maybe it was the past. Doesn't matter. No one thought he could do it, but he did it anyway. He sent text messages through time to people he knew. To his friends. Some of them female. Pretty. He should have been more careful. He should have stopped. Tampering with the time-space continuum attracts unwelcome attention. Clandestine organizations of nefarious origins take notice. SERN. Always watching. Okarin knows; he can feel their eyes. That s why he started the top secret Future Gadget Lab. To stop them. You should join. We get to wear lab coats, and it's dangerous. Danger is exciting because it's deadly. The microwave is a time machine. Steins;Gate is a surreal viewing experience that s an absolute must watch for all fans of sci-fi.",25,2011-06-04 00:00:00,14-09-2011,"['Drama', 'Anime', 'Fantasy', 'Science-Fiction']",Animation,Japanese,SUN-TV,8
The Outer Limits,"""There is nothing wrong with your television set. Do not attempt to adjust the picture. We are controlling transmission"".This 60s anthology series from the minds of Leslie Stevens and Joseph Stefano pushed the boundaries of television and viewers minds by using intelligent science fiction to frighten and entertain viewers.",60,16-09-1963,16-01-1965,"['Drama', 'Science-Fiction']",Scripted,English,ABC,8
Soap,"Soap is an outrageous comedy saga serializing the hilarious exploits of the characters in two unusual families. Meet the Tates and the Campbells, two families who have relationships as complex as those in a Russian novel. But the fun is in the unraveling.The well-to-do Tate family is comprised of Chester Tate the father, and Jessica, the mother, the parents of three children. Their two daughters, Corinne and Eunice, have distinctly different personalities. Their son, Billy, compared to the rest of the family, is the only sane member of the group, according to Benson, their hired employee who knows everything about everyone. The witty Benson does his best to hold the family together. Living with the Tate family is Jessica's father, referred to as the Major -- who doesn't quite believe that World War II is over.On the other side of town lives Mary Dallas Campbell, Jessica Tate's younger sister. Mary is wed to Burt Campbell who is not as prosperous a breadwinner as Chester. Mary's former husband, Johnny Dallas, has passed on, leaving her with two sons, Danny and Jodie. The older son, Danny, does not quite see eye-to-eye with his stepfather, and while the rest of the family knows Jodie is gay, Danny just thinks Jodie has a wonderful sense of humor.",30,13-09-1977,25-05-1981,['Comedy'],Scripted,English,ABC,8
The Untouchables,"The Untouchables chronicles the campaign of Eliot Ness (Robert Stack), the young U.S. Prohibition Bureau agent determined to smash the beer and booze empire of Al Capone in 1920s Chicago.",60,15-10-1959,21-05-1963,"['Drama', 'Action', 'Crime']",Scripted,English,ABC,8
Dragnet,"This long-running show created by Jack Webb features the criminal investigations of police detective Joe Friday. Webb prided himself on making the cases as ""realistic"" as possible, with many of the cases taken from the files of the LAPD. The series was based on the popular radio series, and subsequently inspired three revivals in the 60s, 1989, and 2003.",30,16-12-1951,23-08-1959,"['Drama', 'Crime', 'Mystery']",Scripted,English,NBC,8
Dragon Ball,"This is where it all begins. The story starts with Goku at 12 when he first meets Bulma and is introduced to the legend of the Dragonballs: who ever gets all seven Dragonballs will have their wish granted by Shenron, the Dragon who resides within the balls. As Goku goes along his adventure he meets other characters such as Master Roshi, Krillin and others.",30,26-02-1986,19-04-1989,"['Action', 'Adventure', 'Anime', 'Fantasy']",Animation,Japanese,Fuji TV,8
The Challenge,"Set in the middle of the jungle, ""The Challenge: War of the Worlds 2"" returns to a classic team format; 14 Brits will battle it out against 14 Americans for their share of the $1 million-dollar prize.",64,1998-01-06 00:00:00,,"['Action', 'Adventure']",Reality,English,MTV,8
Yes Minister,"Satirical sitcom set in the office of a UK Cabinet minister, Jim Hacker MP, who struggles with Civil Service bureaucracy and political machinations as he tries to get on with government business.",30,25-02-1980,27-12-1984,['Comedy'],Scripted,English,BBC Two,8
Samurai Jack,"Samurai Jack is a brave and honorable samurai from the distant past trapped in a nightmarish future. He is terrorized by his sworn enemy, the evil shapeshifting demon Aku. He quests for a way back to the past so that he may stop Aku once and for all.",30,2001-10-08 00:00:00,20-05-2017,"['Action', 'Adventure']",Animation,English,Adult Swim,8
The Last Alaskans,"The Last Alaskans chronicles the daily rituals of four families choosing to live in seclusion, vast distances from each other as they overcome harsh arctic conditions, frustrating setbacks, and aggressive wildlife while they survive in one of the last great unspoiled and unforgiving wildernesses on the planet. In the refuge, prop planes, canoes and dog sleds replace the modern luxuries that most people take for granted. Humans cohabit with the animal world and often share the same emotions and struggles while they discover that they are not necessary at the top of the food chain. Utilizing an authentic and organic approach to document the weeks leading up to and during the winter season, <i>The Last Alaskans</i> sets a distinctive and vibrant tone unlike any other docu-series before to completely immerse the viewer into a world that would otherwise be lost in history. Complete with stunning aerial shots via drones and a pace that honestly depicts the lives of nonconformists who choose to live off the land and off the grid, the eight-episode series provides viewers with an unbiased look and deep exploration into the unique perspectives of America's last frontiersmen and their loved ones.",61,25-05-2015,27-01-2019,[],Reality,English,Discovery,8
Day Break,"Detective Brett Hopper is having a hellacious day; the kind of day where nothing goes his way and he just cant wait to put it behind him... only he cant, because hes living the same day over and over again.",60,15-11-2006,2007-02-03 00:00:00,"['Drama', 'Science-Fiction', 'Thriller']",Scripted,English,ABC,8
Battlestar Galactica: Blood & Chrome,"Battlestar Galactica: Blood &amp; Chrome (a prequel to the critically acclaimed hit series, Battlestar Galactica) takes place in the midst of the First Cylon war. As the battle between humans and their creation, the sentient robotic Cylons, rages across the 12 colonial worlds, a young, talented fighter pilot, William Adama, finds himself assigned to one of the most powerful battlestars in the Colonial fleet: the Galactica. Full of ambition and in pursuit of the intense action that the Cylon war promises, Adama quickly finds himself at odds with his co-pilot, the battle-weary officer Coker. With only 47 days left in his tour of duty, Coker desires an end to battle just as much as Adama craves the start of it. Though they clash at first, the two men forge an unlikely bond when a routine escort mission with an enigmatic passenger turns dangerous and becomes a pivotal one for the desperate fleet.",10,2012-09-11 00:00:00,2012-07-12 00:00:00,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,Syfy,8
Shameless,"Paul Abbott's critically acclaimed, offbeat drama about the rollercoaster lives and loves of the dysfunctional Gallagher clan.",60,13-01-2004,28-05-2013,"['Drama', 'Comedy', 'Family']",Scripted,English,Channel 4,8
The Profit,"When Marcus Lemonis isn't running his multi-billion dollar company, Camping World, he goes on the hunt for struggling businesses that are desperate for cash and ripe for a deal. In the past 10 years, he's successfully turned around over 100 companies. Now he's bringing those skills to CNBC and doing something no one has ever done on TV before ... he's putting over $2 million of his own money on the line.In each episode of The Profit, Lemonis makes an offer that's impossible to refuse; his cash for a piece of the business and a percentage of the profits. And once inside these companies, he'll do almost anything to save the business and make himself a profit; even if it means firing the president, promoting the secretary or doing the work himself.",60,30-07-2013,,[],Reality,English,CNBC,8
Midsomer Murders,"Based originally on the books by Caroline Graham, each self-contained episode of two hours is a classic whodunit revolving around Detective Chief Inspector Barnaby and his partner, and their efforts to solve the numerous gruesome murders which take place in the picturesque countryside of Midsomer County.",118,22-03-1998,,"['Drama', 'Crime', 'Mystery']",Scripted,English,,8
Rules of Engagement,"A comedy that follows two couples and a single guy as they navigate the jungles of dating, engagement and marriage.",30,2007-05-02 00:00:00,20-05-2013,"['Comedy', 'Romance']",Scripted,English,CBS,8
Marvel's Agent Carter,"Marvel's Agent Carter, starring <i>Captain America's</i> Hayley Atwell, follows the story of Peggy Carter. It's 1946, and peace has dealt Peggy Carter a serious blow as she finds herself marginalized when the men return home from fighting abroad. Working for the covert SSR (Strategic Scientific Reserve), Peggy must balance doing administrative work and going on secret missions for Howard Stark all while trying to navigate life as a single woman in America, in the wake of losing the love of her life—Steve Rogers. Inspired by the feature films <i>Captain America: The First Avenger</i> and <i>Captain America: The Winter Soldier</i>, along with the short <i>Marvel One-Shot: Agent Carter</i>.",60,2015-06-01 00:00:00,2016-01-03 00:00:00,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,ABC,8
Penn & Teller: Bullshit!,"In society, there are many products and ideas that we buy into. Some of these products, services or ideas are just plain bullshit. Well known magicians: Penn and Teller are here to knock some sense into people in a humorous and informal way and to explain why some things in life are just bullshit.",30,24-01-2003,2010-12-08 00:00:00,['Comedy'],Variety,English,Showtime,8
Quantum Leap,"Get ready to join Dr. Sam Beckett on the adventure of many lifetimes! Who will he be this time? Mafia hit man. Air Force test pilot. Professional boxer. Sam Beckett is a time traveler who never knows whose body he is going to ""leap"" into next and at what moment in history he may find himself. Sam is joined by a helpful but easily distracted holographic guide Al, who assists him on his missions and aids Sam in his ultimate goal of returning to his own life in the present.",60,26-03-1989,1993-05-05 00:00:00,"['Drama', 'Action', 'Science-Fiction']",Scripted,English,NBC,8
The Avengers,Urbane John Steed and a variety of partners work for an elite organization tasked with investigating criminal and espionage matters within the UK. Their opponents use everything from standard techniques to robots and other science fiction gadgetry.,60,1961-07-01 00:00:00,21-05-1969,"['Comedy', 'Action', 'Crime']",Scripted,English,ITV1,8
Police Squad!,"Police Squad! was a parody of the Quinn Martin Productions' police dramas of the 1960s and 1970s, hence the use of ""In Color"" by the narrator. The show's main staple of entertainment came from sight gags (such as a tow truck being a truck in the shape of a big toe) and misunderstandings in dialogue, mostly from people taking things extremely literally. Several great routines came from these misunderstandings that left characters in the scene very confused, but left the audience with loads of humor.",30,1982-04-03 00:00:00,1982-08-07 00:00:00,"['Comedy', 'Crime']",Scripted,English,ABC,8
Fairy Tail,"The story follows a teenage girl named Lucy Heartfilla who is determined to join the notorious magical Fairy Tail Guild. During a daring rescue, she encounters Natsu who is part of the guild and eventually offers her a place. They become teammates performing various missions for the Fairy Tail Guild.",25,2009-12-10 00:00:00,29-09-2019,"['Action', 'Adventure', 'Anime', 'Fantasy']",Animation,Japanese,TV Tokyo,8
Miranda,"Sitcom starring Miranda Hart. It doesn't matter what Miranda attempts in life, whether it's dating or simply dealing with her overbearing mother, she always seems to fall flat, quite literally.",30,2009-09-11 00:00:00,2015-01-01 00:00:00,['Comedy'],Scripted,English,BBC One,8
Ironside,Wheelchair-bound detective Robert T. Ironside battles the bad guys on the streets of San Francisco.,61,28-03-1967,1993-04-05 00:00:00,"['Drama', 'Crime']",Scripted,English,NBC,8
Fresh Meat,"A comedy drama series about the hilarious and painful truths of being a student. The latest creation from Sam Bain and Jesse Armstrong, Fresh Meat follows a group of six students about to embark on the most exciting period of their lives so far - university.",50,21-09-2011,28-03-2016,"['Drama', 'Comedy']",Scripted,English,Channel 4,8
Jonathan Strange & Mr. Norrell,"Jonathan Strange &amp; Mr. Norrell is set during the Napoleonic Wars in an England where magic once existed and is about to return. So begins a dangerous battle between two great men.1806. England is beleaguered by the long war with Napoleon and centuries have passed since practical magicians faded into the nation's past. However, scholars of this glorious history discover that one remains — the reclusive and skillful Mr. Norrell. His displays of magic soon thrill the nation. In London, he raises the beautiful Lady Pole from the dead and summons an army of ghostly ships to terrify the French.Soon the cautious and fussy Norrell is challenged by the emergence of another magician: the brilliant novice Jonathan Strange. While trying to secure his beloved Arabella's hand in marriage, he meets a vagabond, the magician of Threadneedle Street, Vinculus, who tells him he is destined to be a great magician. Young, handsome and daring, Strange is the very antithesis of Norrell. A dangerous battle ensues between the two great men. Their obsessions and secret dabblings with the dark arts will cause more trouble than they can imagine.",60,17-05-2015,28-06-2015,"['Drama', 'Fantasy']",Scripted,English,BBC One,8
Human Planet,"Following in the footsteps of <i>Planet Earth</i> and <i>Life</i>, this epic eight-part blockbuster is a breathtaking celebration of the amazing, complex, profound and sometimes challenging relationship between humankind and nature. Humans are the ultimate animals – the most successful species on the planet. From the frozen Arctic to steamy rainforests, from tiny islands in vast oceans to parched deserts, people have found remarkable ways to adapt and survive in the harshest environments imaginable. We've done this by harnessing our immense courage and ingenuity; learning to live with and utilise the other creatures that share these wild places. Human Planet weaves together eighty inspiring stories, many never told before on television, set to a globally influenced soundtrack by award-winning composer Nitin Sawhney.",60,13-01-2011,2011-03-03 00:00:00,['Nature'],Documentary,English,BBC One,8
This is England,"The first two series of the Channel 4 drama written and directed by Shane Meadows revisiting the characters from his 2007 film This is England. In This is England '86 Thomas Turgoose reprises his role as Shaun, a school-leaver with few prospects in mid-1980s England. Shaun and his friends must attempt to deal with the issues posed by the transition to adulthood in an unstable social climate where 3.4 million people are unemployed and there are strikes, race riots and anti-nuclear protests. The events of This is England '88 take place two years on from the initial spin-off series. Set in and around Christmas, there is a distinct absence of festive spirit as Lol (Vicky McClure) and Woody (Joe Gilgun) struggle to come to terms with events from the past. Shaun, meanwhile, learns first-hand the pain that love can bring.",51,2010-07-09 00:00:00,2015-04-10 00:00:00,"['Drama', 'Crime']",Scripted,English,Channel 4,8
The Thick of It,Join the farce that is the department of Social afairs and Citizenship as it farcically stumbles its way through the corridors of power.,31,19-05-2005,27-10-2012,['Comedy'],Scripted,English,BBC Four,8
Millennium,"Retired serial-profiler Frank Black has moved his family to Seattle to escape the violence and horror he dealt with while working for the FBI in Washington, D.C. Although his uncanny and often unsettling ability to see into the twisted minds of serial killers has caused him much inner torment, Black knows his ""gift"" can still be used to help protect and save others. For that reason he has joined the mysterious Millennium Group, a team of underground ex-law enforcement experts dedicated to fighting against the ever-growing forces of evil and darkness in the world.",60,25-10-1996,21-05-1999,"['Drama', 'Crime', 'Mystery']",Scripted,English,FOX,8
Banished,"At its heart, Banished is a story of survival. Though it is set in the stark historical reality of the founding of the penal colony in Australia in 1788 after the arrival of the First Fleet, it is not the story of Australia and how it came to be. Rather, it is a tale of love, faith, justice and morality played out on an epic scale in a confined community where the stakes are literally life and death.",60,2015-05-03 00:00:00,16-04-2015,"['Drama', 'Crime']",Scripted,English,BBC Two,8
The League of Gentlemen,"Dark, surreal comedy about the strange inhabitants of the small town of Royston Vasey.",30,1999-11-01 00:00:00,20-12-2017,['Comedy'],Scripted,English,BBC Two,8
Over the Garden Wall,"Created by Patrick McHale (Adventure Time), the 10-episode tale follows two brothers, Wirt and Greg (voiced by Elijah Wood and Collin Dean), who mysteriously find themselves outside of the world they know and in a forest called the Unknown. In a Wizard of Oz-like twist, they have stumbled into a fantasy universe of the past filled with the things of folk tales, as well as talking and singing animals, all wrapped up in the seemingly constant backdrop of harvest time.",11,2014-03-11 00:00:00,2014-07-11 00:00:00,"['Drama', 'Fantasy', 'Mystery']",Animation,English,Cartoon Network,8
Underbelly,"Underbelly is part review, part exposé, and part skit comedy. We delve into the seedy underbelly of gaming, movies, comics, and the internets and attack its vulnerable underbelly for massive damage.",60,13-02-2008,2013-01-09 00:00:00,"['Drama', 'Crime']",Scripted,English,Nine Network,8
Wentworth,"Fans of the iconic Prisoner series which pushed boundaries over three decades ago and still today boasts a loyal following worldwide, will remember Bea Smith as gutsy and fearless, ruling Wentworth Correctional Center with an iron fist. But who was Bea Smith before prison? How did a wife and mother from the suburbs become a top dog without rival? Wentworth is a dynamic, often confronting, drama series that begins with Bea's early days in prison. Set in the present day, it is a modern adaptation of Prisoner contemporising legendary characters and their stories for today's audience. This ten-part series takes the viewer inside to an uncompromising environment exploring the politics of women in a world without men, and how such a threatening experience both challenges and often changes those confined and working behind the razor wire.",60,2013-01-05 00:00:00,26-10-2021,"['Drama', 'Crime']",Scripted,English,Showcase,8
Porridge,Classic comedy series about the inmates and wardens of HM Prison Slade.,30,1974-05-09 00:00:00,25-03-1977,"['Comedy', 'Crime']",Scripted,English,BBC One,8
Friday Night Dinner,"For the Goodman family, Friday Night Dinner is just like Sunday lunch: just take two days away, change the meal to dinner, and you've pretty much got it. Adam and his brother, Jonny, view Friday night dinner as a necessary annoyance - necessary because they get fed, and annoying because, well, they have to spend the evening with mum and dad.",32,25-02-2011,2020-01-05 00:00:00,"['Comedy', 'Family']",Scripted,English,Channel 4,8
Killjoys,"Killjoys follows a fun-loving, hard living trio of interplanetary bounty hunters sworn to remain impartial as they chase deadly warrants throughout the Quad, a distant system on the brink of a bloody, multi-planetary class war.",60,19-06-2015,20-09-2019,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,CTV Sci-Fi Channel,8
Who Do You Think You Are?,Who Do You Think You Are? is a geneaology documentary show that gives celebrities a unique opportunity to dig into their roots and learn more about their family history.,60,2010-05-03 00:00:00,,"['Family', 'History']",Documentary,English,NBC,8
Deutschland,"Deutschland is a coming-of-age spy thriller, which unfolds just as the Cold War between East and West comes to a head. The drama follows Martin Rauch as the 24-year-old East German native is pulled from the world as he knows it and sent to the West as an undercover spy for the Stasi foreign service. Hiding in plain sight in the West German army, he must gather the secrets of NATO military strategy. Everything is new, nothing is quite what it seems and everyone he encounters is harboring secrets, both political and personal.",47,17-06-2015,25-09-2020,"['Drama', 'Action', 'Thriller']",Scripted,German,,8
Claymore,"A brutal scourge stalks the land. Yoma, monsters driven by a hunger satisfied by only one quarry – Humanity. The dark breed knows but a singular foe: Claymore. Human-Yoma hybrids of extraordinary strength and cunning, the Claymores roam from skirmish to skirmish delivering salvation by the edge of a blade.Thus begins the twisting tale of Clare, one such sister of the sword driven by pain in both victory and defeat. A child silent and suffering hidden in her past, Clare's march toward vengeance unfolds along a path marked by violence, solitude and scorn. In a land where even the predator is prey, the haunted hearts of hunter and hunted alike wear the scars of the age.",30,2007-04-04 00:00:00,26-09-2007,"['Action', 'Adventure', 'Anime', 'Fantasy']",Animation,Japanese,NTV,8
Through the Wormhole,"Hosted by Morgan Freeman, Through the Wormhole explores the deepest mysteries of existence - the questions that have puzzled mankind for eternity. Can we eliminate evil? What is nothing? Is there a superior race? Now, science has evolved to the point where hard facts and evidence may be able to provide us with answers instead of philosophical theories. <i>Through the Wormhole</i> brings together the brightest minds and best ideas from the very edges of science - Astrophysics, Astrobiology, Quantum Mechanics, String Theory, and more - to reveal the extraordinary truth of our Universe.",60,2010-09-06 00:00:00,16-05-2017,['Science-Fiction'],Documentary,English,Science,8
Snowfall,"Los Angeles, 1983. A storm is coming and it's name is crack. Snowfall is a one-hour drama set against the infancy of the crack cocaine epidemic and it's ultimate radical impact on the culture as we know it. The story follows three characters on a violent collision course: Franklin Saint, young street entrepreneur on a quest for power; Gustavo ""El Oso"" Zapata, a Mexican wrestler caught up in a power struggle within a crime family; Teddy McDonald, a CIA operative running from a dark past who begins an off-book operation to fund the Nicaraguan Contras and Lucia Villanueva, the self-possessed daughter of a Mexican crime lord.",64,2017-05-07 00:00:00,19-04-2023,"['Drama', 'Crime']",Scripted,English,FX,8
Pride and Prejudice,"Re-live the romance and drama of Andrew Davies' lavish adaptation, starring Colin Firth and Jennifer Ehle.",52,24-09-1995,29-10-1995,"['Drama', 'Romance']",Scripted,English,BBC One,8
Waking the Dead,Drama series following the members of a Cold Case investigation team as they use advanced forensic techniques to uncover the truth and bring criminals to justice.,60,2000-04-09 00:00:00,2011-11-04 00:00:00,"['Drama', 'Crime']",Scripted,English,BBC One,7.9
Chowder,"Then show follows Chowder, a young chef in Mung Daal's catering company and his daily advantures.",15,2007-02-11 00:00:00,2010-07-08 00:00:00,"['Comedy', 'Children']",Animation,English,Cartoon Network,7.9
Lab Rats,"Lab Rats introduces Leo just as he settles into the high-tech home he shares with his inventor stepdad, Donald Davenport, his mom, Tasha, and Eddy, the ""smart house"" computer. There he discovers a secret underground lab with three experiments, super-human teens: Adam the strong one, Bree the fast one and Chase the smart one. The trio, eager to leave their confines, convinces Leo and his parents to let them join him at school where they try to fit in while trying to manage their unpredictable bionic strengths. Along the way, they help Leo build self confidence while he figures out a way to keep their bionic abilities a secret from the world.",32,27-02-2012,2016-03-02 00:00:00,"['Comedy', 'Action', 'Science-Fiction']",Scripted,English,Disney XD,7.9
The Lying Game,"The Lying Game follows Emma, a kind-hearted foster kid who learns she has an identical twin sister, Sutton. Sutton, unlike Emma, was adopted by wealthy parents and is seemingly living an ideal life. After their initial meeting, Sutton talks Emma into stepping into her life for a few days while she pursues a lead on the mysterious identity of their birth mother. After Sutton inexplicably fails to return to the girls' designated meeting place, Emma must decide whether to come clean about her identity and risk her own safety in the hope of uncovering her twin sister's whereabouts, along with the truth about why they were separated in the first place.",60,15-08-2011,2013-12-03 00:00:00,"['Drama', 'Thriller']",Scripted,English,Freeform,7.9
The Dresden Files,"The Dresden Files chronicles the cases of no ordinary detective. Harry Dresden is a wizard, the only one listed in the Chicago phone book. He's got a handle on the crimes that can't be solved by anyone else. Paranormal? No problem. Dresden deals in all matters of supernatural threats. If you need a little hocus pocus or some other worldly advice, Dresden's your man.",60,21-01-2007,15-04-2007,"['Drama', 'Fantasy', 'Mystery']",Scripted,English,Syfy,7.9
Magnum P.I.,"Pursued by thugs and lovely ladies alike, Thomas Magnum is a witty but tough private investigator in Hawaii who works for a mysterious novelist.",60,1980-11-12 00:00:00,1988-01-05 00:00:00,"['Drama', 'Action', 'Mystery']",Scripted,English,CBS,7.9
Psychoville,"Psychoville is a BBC dark mystery psychological thriller television sit-com written by and starring The League of Gentlemen members Reece Shearsmith and Steve Pemberton. It debuted on BBC Two on 18 June 2009. Pemberton and Shearsmith each play numerous characters, with Dawn French and Jason Tompkins in additional starring roles. The first series was followed by a Halloween special, broadcast on 31 October 2010, which saw Imelda Staunton added to the main cast along with previously supporting actors Eileen Atkins and Daniel Kaluuya. The second series started broadcasting on 5 May 2011 and ended on 6 June. Reece Shearsmith has officially announced that there will not be a third series.",30,18-06-2009,2011-06-06 00:00:00,"['Comedy', 'Thriller', 'Mystery']",Scripted,English,BBC Two,7.9
Battlestar Galactica,"When the 12 Colonies of Man are wiped out by a cybernetic race called the Cylons, Commander Adama (Lorne Greene) and the crew of the battlestar Galactica lead a ragtag fleet of human survivors in search of a ""mythical planet"" called Earth.",60,17-09-1978,29-04-1979,"['Action', 'Adventure', 'Science-Fiction']",Scripted,English,ABC,7.9
Star Wars: Rebels,"Star Wars Rebels, set five years before the events of Star Wars: Episode IV - A New Hope, tells the story of the Rebellion's beginnings while the Empire spreads tyranny through the galaxy.",32,29-09-2014,2018-05-03 00:00:00,"['Action', 'Adventure', 'Science-Fiction']",Animation,English,Disney XD,7.9
DreamWorks Dragons,"DreamWorks Dragons picks up where the critically-acclaimed feature film, <i>How to Train Your Dragon</i>, left off, this weekly animated series follows the continuing adventures of Hiccup and his dragon Toothless on the island of Berk, along with the band of dragon trainers, all of whom now have dragons of their own!<br /><br /> Through their training, the kids are finding out the cool things dragons can do. Not only will they learn more about their dragons, they'll also discover new ones and battle against enemies as they explore worlds they never dreamed existed.",30,2012-07-08 00:00:00,2014-05-03 00:00:00,"['Adventure', 'Family', 'Fantasy']",Animation,English,Cartoon Network,7.9
Dark Blue,"Officer Carter Shaw and his team go undercover - sometimes too deep, among the criminals of modern-day Los Angeles.",60,15-07-2009,15-09-2010,"['Drama', 'Action', 'Crime']",Scripted,English,TNT,7.9
BoJack Horseman,"Meet the most beloved sitcom horse of the '90s, 20 years later. He's a curmudgeon with a heart of... not quite gold... but something like gold. Copper?",26,22-08-2014,31-01-2020,"['Drama', 'Comedy']",Animation,English,,7.9
Tru Calling,"What would you do if you could relive a day? If you're Tru Davies, you'd save lives.",60,30-10-2003,21-04-2005,"['Drama', 'Fantasy']",Scripted,English,FOX,7.9
Boss,"Boss is an American political drama television series staring Kelsey Grammer as Tom Kane, the mayor of Chicago, who has recently been diagnosed with dementia with Lewy bodies, a degenerative neurological disorder.",60,21-10-2011,19-10-2012,"['Drama', 'Crime']",Scripted,English,STARZ,7.9
Gold Rush,"Gold Rush follows six men who, in the face of an economic meltdown, risk everything - their families, their dignity, and in some cases, their lives - to strike it rich mining for gold in the wilds of Alaska. Inspired by his father Jack, Todd Hoffman of Sandy, Oregon, leads a group of greenhorn miners to forge a new frontier and save their families from dire straits. While leasing a gold claim in Alaska, Todd and his company of newbies face the grandeur of Alaska as well as its hardships, including an impending winter that will halt operations and the opportunity to strike gold. In an effort to keep the operation running, the team takes fate into their own hands with a make or break venture that will change their lives forever.",67,2010-03-12 00:00:00,,"['Action', 'Adventure', 'Nature']",Reality,English,Discovery,7.9
The Playboy Club,"The Playboy Club is a provocative drama about a time and place that challenged the social mores, where a visionary entrepreneur created an empire and an icon changed American culture. It's the early '60s, and the legendary Playboy Club in Chicago is the door to all of your fantasies -- and the key is the most sought-after status symbol of its kind. Inside the seductive world of the bunny, the epitome of beauty and service, the clientele rubs shoulders with the decade's biggest mobsters, politicos and entertainers.",60,19-09-2011,2011-03-10 00:00:00,['Drama'],Scripted,English,NBC,7.9
Sleeper Cell,"The controversial and unconventional drama delves into the harsh inner-workings of a Los Angeles-based Islamic terrorist cell headed by a charismatic and fanatical extremist (Fehr) and an Muslim undercover FBI agent (Ealy) who infiltrates it. Last year's mini-series featured a powerful and engrossing two-hour finale that will set the stage for the new Sleeper Cell, which will continue to combine timely, meticulously researched storylines and complex characters to create an entertaining and thought-provoking television event.",60,2005-04-12 00:00:00,17-12-2006,"['Drama', 'Crime', 'Espionage']",Scripted,English,Showtime,7.9
A Haunting,"""When the door between the spirit world and ours is opened, the stuff of nightmares becomes reality"". That's according to the introduction of this series, A Haunting, which dramatizes the ""true"" stories of people who have been haunted or experienced a haunting. In this docu-drama, the actual people involved recount their stories on-camera, as the frightening events of their stories are re-enacted....",60,28-10-2005,27-05-2022,"['Drama', 'Horror', 'Mystery']",Documentary,English,Travel Channel,7.9
Parker Lewis Can't Lose,"For most teenagers, high school is filled with obstacles nearly impossible to traverse. But then there is Parker Lewis, the one teenager able to overcome any barrier with the use of his wits and the help of his best buds, rock n roller Mikey and their quintessential nerd assistant Jerry. Of course, that does not mean Principal Grace Musso will give up her attempts to foil the Buds' plans to maintain total coolness!",30,1990-02-09 00:00:00,13-06-1993,['Comedy'],Scripted,English,FOX,7.9
The Paradise,An intoxicating love story set in England's first department store in the 1870s.,60,25-09-2012,2013-08-12 00:00:00,"['Drama', 'Romance', 'History']",Scripted,English,BBC One,7.9
Hardcore Pawn,"Hardcore Pawn takes viewers behind the scenes of the immense American Jewelry &amp; Loan, a family business owned by third-generation pawnbroker Les Gold. Working with Les are his son, Seth, who is being groomed to eventually take over the store, and daughter, Ashley, who thinks Seth isn't ready for the top job.",30,16-08-2010,2015-06-04 00:00:00,[],Reality,English,truTV,7.9
Sinbad,"Sinbad is a young man on a quest for redemption, condemned to keep searching for a way to lift the curse that chains him to the seas, until he can find the goodness in himself. Sinbad provides for himself and his family by fighting for money, but inadvertently kills a man, causing him to escape to sea as a stowaway. The 8th century Arabia is a melting pot of cultures, faiths and creatures; full of life and color, but also threatening and volatile. Before their journey is over, Sinbad and his crew of outcasts will not only have to brave their own demons, but some of the most dangerous enemies imaginable.",60,2012-08-07 00:00:00,23-09-2012,"['Action', 'Adventure', 'Fantasy']",Scripted,English,Sky Showcase,7.9
